ra dec type modelMag_g modelMag_r modelMag_i modelMag_z z zErr idnum
160.677286319129 58.8379491231195 6 23.41053 22.76849 22.6433 22.40834 nan nan 010026
160.681695442578 58.8383730846795 6 15.28314 14.90024 14.76646 14.73656 nan nan 010026
160.671670440972 58.844179154363 3 15.73355 15.14047 14.81813 14.6133 0.03801 0.008965 010026
160.668646337061 58.8443296598631 6 23.58069 24.3395 24.3618 22.8269 nan nan 010026
160.668513609454 58.8413447229225 6 22.63906 23.18819 24.28775 22.55077 nan nan 010026
160.666082778681 58.845317380842 3 21.29752 21.6336 21.50225 21.98228 0.207764 0.104758 010026
160.664514395709 58.8388958812249 6 23.42186 24.54225 23.53571 22.54719 nan nan 010026
160.663892119478 58.8391641393224 3 23.28677 22.61128 21.42438 21.42741 0.527862 0.115118 010026
160.661888308063 58.8480429932182 3 23.13145 22.35345 21.85279 22.78114 0.586353 0.124143 010026
160.671629808604 58.8485480296193 6 23.39029 22.75304 22.6396 22.2569 nan nan 010026
160.670109705043 58.8461916445022 3 21.84385 22.33833 23.48018 22.82691 -9999.0 -9999.0 010026
